ImageNumber,ObjectNumber,Metadata_Age,Metadata_FileLocation,Metadata_Frame,Metadata_ImageID,Metadata_ImageID,Metadata_ImageInfo,Metadata_Series,Metadata_Targets,Metadata_organ,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Center_Z,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_IntegratedIntensityEdge_c4,Intensity_IntegratedIntensity_c4,Intensity_LowerQuartileIntensity_c4,Intensity_MADIntensity_c4,Intensity_MassDisplacement_c4,Intensity_MaxIntensityEdge_c4,Intensity_MaxIntensity_c4,Intensity_MeanIntensityEdge_c4,Intensity_MeanIntensity_c4,Intensity_MedianIntensity_c4,Intensity_MinIntensityEdge_c4,Intensity_MinIntensity_c4,Intensity_StdIntensityEdge_c4,Intensity_StdIntensity_c4,Intensity_UpperQuartileIntensity_c4,Location_CenterMassIntensity_X_c4,Location_CenterMassIntensity_Y_c4,Location_CenterMassIntensity_Z_c4,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_c4,Location_MaxIntensity_Y_c4,Location_MaxIntensity_Z_c4,Number_Object_Number
1,1,Adt,nan,0,JD12,JD12,nan,0,EphA5-Efna5-EphA6,ret,34,10124.0,599.0,1.0,1.0028094197012403,0.27758847001915754,1.0,0.8095238095238095,0.763494930994155,6.799541042326111,6.4031242374328485,3.0,1.4882684164556337,1.0,5.0,6.532319614834221,0.0,23.656,0.8947368421052632,0.6925000175833702,2.2625000346451998,0.02208333369344473,0.02916666679084301,0.47247779081484725,0.07583333551883698,0.20916666090488434,0.038472223199076123,0.06654411866603528,0.05000000074505806,0.019166667014360428,0.019166667014360428,0.017126189222160856,0.05327437474916122,0.08833333477377892,10124.204419888183,599.0740331325931,0.0,10124.0,599.5,0,10124.0,600.0,0.0,1
1,2,Adt,nan,0,JD12,JD12,nan,0,EphA5-Efna5-EphA6,ret,44,10121.0,608.0,1.0,1.006088556418219,0.0,1.0,0.6875,0.7412343430778268,7.583803005457245,7.0710678118654755,3.1622776601683795,1.5875309763558312,1.4142135623730951,6.708203932499369,7.583803005457245,0.0,27.312,0.8461538461538461,0.748333353549242,2.950000075623393,0.028333334252238274,0.01916666515171528,0.2777479803291816,0.07583333551883698,0.21166667342185974,0.0374166676774621,0.06704545626416802,0.04416666552424431,0.023333333432674408,0.023333333432674408,0.012766330292175882,0.05428438844930318,0.0925000011920929,10120.53361581628,608.7757062158761,0.0,10120.5,608.5,0,10121.0,609.0,0.0,2
1,3,Adt,nan,0,JD12,JD12,nan,0,EphA5-Efna5-EphA6,ret,34,10100.0,614.0,1.0,1.0028094197012403,0.27758847001915754,1.0,0.8095238095238095,0.763494930994155,6.799541042326111,6.4031242374328485,3.0,1.4882684164556337,1.0,5.0,6.532319614834221,0.0,23.656,0.8947368421052632,0.8925000131130219,2.4633333794772625,0.048750000074505806,0.012500002980232239,0.07832681238572192,0.06083333492279053,0.21166667342185974,0.049583334061834544,0.07245098174933125,0.05666666850447655,0.03750000149011612,0.03583333268761635,0.005946326676698167,0.04261803274349449,0.0741666704416275,10099.926251676987,613.4736129882092,0.0,10100.0,613.5,0,10100.0,614.0,0.0,3
1,4,Adt,nan,0,JD12,JD12,nan,0,EphA5-Efna5-EphA6,ret,39,10109.0,613.0,1.0,1.0032928948499646,0.3607193233042779,1.0,0.7959183673469388,0.8175413529198008,7.379710014818711,7.0710678118654755,3.1622776601683795,1.5642575514558767,1.4142135623730951,6.0,6.882866742301489,-44.99999999999992,24.484,0.9176470588235294,0.9466666877269745,2.1483333855867386,0.02645833371207118,0.01666666753590107,0.16833624809967757,0.07999999821186066,0.21166667342185974,0.04982456251194602,0.05508547142530099,0.0416666679084301,0.03333333507180214,0.02083333395421505,0.012216309978016832,0.04693216551274787,0.06270833313465118,10108.638479451654,612.6121024097757,0.0,10108.74358974359,612.7435897435897,0,10108.0,613.0,0.0,4
1,5,Adt,nan,0,JD12,JD12,nan,0,EphA5-Efna5-EphA6,ret,39,10083.0,619.0,1.0,1.0032928948499646,0.3607193233042779,1.0,0.7959183673469388,0.8175413529198008,7.379710014818711,7.0710678118654755,3.1622776601683795,1.564257551455877,1.4142135623730951,6.0,6.882866742301489,44.99999999999992,24.484,0.9176470588235294,0.8500000219792128,2.805833399295807,0.03541666828095913,0.01875000074505806,0.1014542867764202,0.06750000268220901,0.21166667342185974,0.04473684326206383,0.07194444613578992,0.04958333447575569,0.028333334252238274,0.025833332911133766,0.010043955684678418,0.05615922167253531,0.08416666835546494,10083.215325212697,618.8363528369428,0.0,10083.25641025641,618.7435897435897,0,10083.0,619.0,0.0,5
1,6,Adt,nan,0,JD12,JD12,nan,0,EphA5-Efna5-EphA6,ret,25,10110.0,645.0,1.0,1.0053096491487339,0.0,1.0,1.0,0.7853981633974483,5.73771211386865,5.656854249492381,3.0,1.4,1.0,4.0,5.73771211386865,0.0,20.0,1.0,0.6283333450555801,1.6041667088866234,0.038750000298023224,0.019583333283662796,0.05363494863698206,0.05416667088866234,0.1641666740179062,0.03927083406597376,0.06416666835546493,0.04791666753590107,0.02250000089406967,0.02250000089406967,0.00913762011443912,0.03734077454481761,0.09395833685994148,10109.950129867913,644.9802597456716,0.0,10110.0,645.0,0,10110.0,645.0,0.0,6
1,7,Adt,nan,0,JD12,JD12,nan,0,EphA5-Efna5-EphA6,ret,25,10066.0,651.0,1.0,1.0053096491487339,0.0,1.0,1.0,0.7853981633974483,5.73771211386865,5.656854249492381,3.0,1.4,1.0,4.0,5.73771211386865,0.0,20.0,1.0,1.1458333767950535,2.1908333972096443,0.05708333570510149,0.03333333507180214,0.4670142787825507,0.17916667461395264,0.1875,0.07161458604969084,0.08763333588838577,0.0741666704416275,0.030833333730697632,0.030833333730697632,0.03848754148655778,0.04466771267976118,0.12187500298023224,10066.045264348593,650.5351844717168,0.0,10066.0,651.0,0,10066.0,651.0,0.0,7
1,8,Adt,nan,0,JD12,JD12,nan,0,EphA5-Efna5-EphA6,ret,25,10081.0,658.0,1.0,1.0053096491487339,0.0,1.0,1.0,0.7853981633974483,5.73771211386865,5.656854249492381,3.0,1.4,1.0,4.0,5.73771211386865,0.0,20.0,1.0,1.0058333724737167,2.075000051409006,0.05250000115483999,0.025833331048488617,0.11670726918192727,0.12166666984558105,0.20250000059604645,0.0628645857796073,0.08300000205636024,0.07000000029802322,0.030000001192092896,0.02500000037252903,0.021044696739077596,0.04631414494867536,0.13229167088866234,10081.070281125749,657.9068273106357,0.0,10081.0,658.0,0,10081.0,658.0,0.0,8
1,9,Adt,nan,0,JD12,JD12,nan,0,EphA5-Efna5-EphA6,ret,25,10104.0,660.0,1.0,1.0053096491487339,0.0,1.0,1.0,0.7853981633974483,5.73771211386865,5.656854249492381,3.0,1.4,1.0,4.0,5.73771211386865,0.0,20.0,1.0,0.7491666786372662,1.6766667049378157,0.0387500012293458,0.01666666567325592,0.222478113931531,0.07833333313465118,0.1899999976158142,0.046822917414829135,0.06706666819751263,0.050833333283662796,0.027500001713633537,0.023333333432674408,0.013265513479793297,0.04402784579439773,0.08833333477377892,10104.15556660735,659.8409542774658,0.0,10104.0,660.0,0,10104.0,660.0,0.0,9
1,10,Adt,nan,0,JD12,JD12,nan,0,EphA5-Efna5-EphA6,ret,39,10076.0,681.0,1.0,1.0032928948499646,0.3607193233042779,1.0,0.7959183673469388,0.8175413529198008,7.379710014818711,7.0710678118654755,3.1622776601683795,1.564257551455877,1.4142135623730951,6.0,6.882866742301489,44.99999999999992,24.484,0.9176470588235294,0.8233333602547646,2.588333409279585,0.04229166731238365,0.011249998584389687,0.3260942954586886,0.0741666704416275,0.21166667342185974,0.043333334750250765,0.06636752331486115,0.048750000074505806,0.02500000037252903,0.02500000037252903,0.013925974996370192,0.04858741499026424,0.06916666962206364,10075.452672236936,681.4037347073773,0.0,10075.74358974359,681.2564102564103,0,10076.0,681.0,0.0,10
